song_name,song_artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
()vȯ)) ̷̨ʅ(۝ʅ(Ɵʅ():::()̵̳̗̊(Ɵʅ()vȯ)) ̷̨ʅ,⣎⡇ꉺლ༽இ•̛)ྀ◞ ༎ຶ ༽ৣৢ؞ৢ؞ؖ ꉺლ,0.852,0.93,-7.02,0.209,0.0127,0.494,0.0573,0.236,129.028,55meeb1WffJW16DfMnWVi0,271642
Tahara,Jacana People,0.73,0.961,-6.617,0.0378,0.305,0.879,0.118,0.184,129.024,4HDyneNRqT6teWLfG5CQ1x,213851
AZD SURF,Actress,0.584,0.798,-14.769,0.0395,0.868,0.926,0.128,0.837,133.962,15RXHgm7esKYvPcHGTelUI,251796
Honey Love,Tony Njoku,0.69,0.22,-15.534,0.0301,0.836,0.737,0.0968,0.239,97.048,0nXl6xvbm0tH7FYY1wKlku,215898
Steamin,Chloé Robinson,0.797,0.727,-6.381,0.102,0.000281,0.709,0.0994,0.267,133.993,1eJHtjhx9G89WPHHX20ndU,228750
Never Gonna Stop,49th & Main,0.761,0.609,-10.189,0.0673,0.0916,0.529,0.286,0.498,120.029,216LOkWfwFC0oI2ffMApMc,239846
Breathing,Mall Grab,0.67,0.904,-6.982,0.0359,0.00443,0.813,0.129,0.444,135.005,4vKEzzWe1W1xYI5foZu15g,286556
"Gotta Do This, Gurl",Mona Yim,0.831,0.522,-10.132,0.0576,5.55e-05,0.819,0.0809,0.515,120.994,1fiwPnzU3b50IhhhgDVorQ,225000
Eventide in Orbit,Manami,0.61,0.721,-8.695,0.0316,0.0328,0.877,0.112,0.268,129.025,3m1Z6IK6pCXs5jOydBlUAT,406442
Meli (II),Bicep,0.489,0.92,-4.746,0.0323,0.0376,0.665,0.25,0.215,126.991,6nGhGBz7uaE1RngnIFRKep,417431
Poolside (feat. Katy Alex),Sammy Virji,0.767,0.843,-4.312,0.116,0.00831,4.99e-05,0.393,0.454,130.933,2xoeyiHgdFQtALq4bjwscy,176000
Too Late Now - Soulwax Remix,Wet Leg,0.793,0.948,-6.652,0.058,0.0235,0.289,0.0567,0.481,129.999,5NY8FqMU71tJbuz6qiZ69C,398769
To The Floor,Lil Silva,0.692,0.672,-10.48,0.0403,0.0395,0.924,0.0939,0.441,114.008,7huFrzl3tBNxSr8tp6zyDf,189423
Miss The Days,SBTRKT,0.522,0.934,-3.334,0.0631,0.148,0.517,0.0447,0.604,175.293,4TdBkfjotcNZWAGI2xgxh9,220650
Let Me Love U,Baauer,0.724,0.827,-6.399,0.044,0.00527,0.648,0.919,0.585,124.05,0GXeIYIvVgQIwAZ70Udnxb,189507
Smiley,Orbital,0.626,0.936,-5.122,0.0474,0.00625,0.0116,0.204,0.748,140.028,2qrhwoAn9s6q1C31811SVS,429012
bda creature,altrice,0.71,0.866,-4.891,0.0442,0.000862,0.467,0.0607,0.196,126.028,2SJh15C8b0AmfG2leMFp58,291401
32 Floors,Låpsley,0.726,0.507,-11.652,0.0577,0.249,2.59e-05,0.0753,0.321,104.991,18tuLCxBzxaHYhYMgBfxNm,181950
Fall In Love,Jennifer Loveless,0.703,0.612,-13.948,0.0409,0.415,0.835,0.0462,0.462,133.005,39MX1i8UtVwYa99k1VfZsp,349456
Anywhere With You,Bklava,0.601,0.833,-6.134,0.0368,0.0109,0.00605,0.0791,0.651,136.972,0RG81CtArQ6WWE5W7cGocf,162265
Lanzarote Howl,Kiimi,0.653,0.738,-7.621,0.0534,0.29,0.805,0.372,0.465,133.999,6kaBmYQgjE8eOBq7pLLfV8,210480
Twister,Obskür,0.816,0.877,-7.303,0.0368,0.014,0.926,0.15,0.0592,130.012,7rwnsJwCVBA9eeTooLpMZv,158219
Jungle,Fred again..,0.665,0.727,-8.073,0.0391,0.00984,0.394,0.172,0.397,133.922,31B7wLv4yvtjDoTTmbnxeE,198806
Rainbows and Dreams,George FitzGerald,0.591,0.833,-6.723,0.0329,0.267,0.805,0.109,0.243,126.012,1f4xccWnwzfLJLzPWUGhT7,281061
Quiet Corners Of My Mind,Romare,0.739,0.689,-7.432,0.137,0.171,0.942,0.109,0.506,158.019,10G4nVNI2Jyvi7bLrbZBEK,268238
Phone Call,Henry Wu,0.853,0.957,-5.765,0.172,0.354,0.12,0.153,0.347,110.003,3cVi9bWA3cGzHtYlWTIcCY,270000
Reach,Catz 'n Dogz,0.668,0.668,-9.072,0.0309,0.0249,0.0229,0.246,0.294,124.007,5Qh5dgVlsM9wAC8CczAq3G,218402
Heather Park,Ewan McVicar,0.715,0.947,-6.738,0.0435,0.252,0.912,0.581,0.519,122.034,3i41yQZllyhZZJXsr3ADhd,361960
Cloudy,Daphni,0.863,0.601,-8.997,0.0703,0.00205,0.931,0.0838,0.198,128.014,47aSZv8FWDnGRtWnFItGzT,411819
Peace,Roska,0.797,0.893,-3.886,0.0415,0.000106,0.875,0.0552,0.455,130.034,66GA7b6ONDHPYgBBqJe9J0,237500
Always Been - Edit,I. JORDAN,0.468,0.974,-6.183,0.0658,0.0744,0.00498,0.294,0.615,133.988,7BRfaJyBsD2kixpq6TC9bS,208000
What If?,Lil Silva,0.756,0.626,-11.19,0.112,0.29,0.00908,0.101,0.407,134.005,3HMT60X7FnNyzwxiozhCL5,193000
Mine O' Mine - Inner City Remix,Aluna,0.676,0.92,-5.194,0.0317,3.56e-05,0.424,0.0443,0.647,128.004,0GSRErTHYi2AWD7rb1G2hb,185625
hollaback bitch (with Shygirl & Channel Tres),Mura Masa,0.904,0.825,-5.675,0.123,0.0177,0.00665,0.124,0.602,123.048,2LFLXzQe95ViTXZeq1WRdx,203550
Tech Flex VIP,gyrofield,0.61,0.993,-2.775,0.199,0.000511,0.843,0.314,0.147,174.015,7oYhhesWeKI3Mv1ffuf1or,253793
For Tha Shot,Skin On Skin,0.742,0.802,-10.133,0.0612,0.0263,0.783,0.139,0.627,135.002,4nkxVUmWW2sNVzSAmElsrp,262056
Tundra,Myna Cycles,0.673,0.623,-13.215,0.048,0.621,0.871,0.116,0.634,127.034,1p67VZuRPOIPMWoe385GSg,292792
I Need,MJ Cole,0.764,0.68,-6.554,0.0657,0.0571,0.75,0.129,0.551,129.951,0ME6uNAGe22wEovyNvdKr8,251538
Paroché,Demi Riquísimo,0.848,0.679,-9.65,0.0436,0.0415,0.0479,0.182,0.907,125.004,6iAbw4nxEYOEmTokBOovgY,324250
Pliva,Jamie Jones,0.667,0.886,-6.999,0.0516,0.00306,0.531,0.0523,0.774,123.007,5tfqO6elC42ZwXfIN1aSDk,244571
Company,NIMMO,0.702,0.826,-5.163,0.0409,0.0446,0.0199,0.105,0.736,116.023,0erTUYYdEbOI6Pg50WItD1,216180
Aspect,Kessler,0.769,0.818,-7.54,0.0548,0.000208,0.902,0.0494,0.319,134.993,0naxsHkorKM1kWJIy93AYD,321420
Sueños,Waleed,0.702,0.62,-12.96,0.057,0.25,0.898,0.111,0.107,139.98,3OWJfQQGd8YuCRP2K6DkUa,298286
Make The Night Last,Prospa,0.683,0.85,-5.221,0.0351,0.00101,0.123,0.634,0.543,123.026,7LhJcuKVjWEJpCRWuE9EiK,230914
Satyr,O'Flynn,0.663,0.798,-8.02,0.0415,0.000132,0.802,0.0496,0.315,135.013,2Cp7vXWA3ie2KcpWVN7Jk1,285047
Forever,Totally Enormous Extinct Dinosaurs,0.724,0.729,-6.45,0.0405,0.209,0.0118,0.107,0.122,123.964,0z7mJ4dACjuoBqH7RC3mbm,268159
SE15,Mount Kimbie,0.428,0.531,-10.383,0.0357,0.73,0.795,0.0974,0.403,81.974,5sEY20SqFKfmwRavzwJtKF,201373
"Baby, We're Ascending - Edit",HAAi,0.421,0.85,-6.895,0.0469,0.0013,0.00624,0.869,0.0905,139.937,1L6Jpr2nBdKkgs8CQWheNT,252805
Let Me Go,Nils Hoffmann,0.52,0.78,-8.416,0.0539,0.00241,0.142,0.315,0.0582,119.95,72UPGunahNXBgwtgrewjJS,190299
Hypnotize Me Baby,Sensu,0.616,0.639,-8.431,0.144,0.0423,0.227,0.0766,0.334,129.523,4X4PLwuWE5FoLIwvWy4jdg,142763
Make You Scream,VTSS,0.753,0.528,-11.393,0.0431,0.00165,0.126,0.0922,0.596,130.029,0EeMLsi9eUQokrejzb7WTH,163910
Endless,Kessler,0.637,0.856,-6.343,0.0661,0.217,0.861,0.209,0.381,145.054,5zbq7tbiCjPy2fTmeraOlW,338895
Can I See You Tonight (Young Marco Remix),Miljon,0.724,0.722,-11.462,0.0505,0.0184,0.841,0.107,0.678,127.986,2T1nzOkomRGzHeqhEdtHi4,438175
Way Back When - Ollie Rant Remix,Daffy,0.755,0.961,-6.622,0.142,0.0242,0.698,0.121,0.686,132.046,2ycdOIAytDaaXg9gN2luzA,308371
Higher,Daniel Avery,0.389,0.878,-6.281,0.0407,8.94e-05,0.149,0.109,0.124,159.956,1Pt6BHH73duKZoYzycJMym,302074
Express Yourself,Mandidextrous,0.509,0.952,-4.023,0.0449,0.012,0.705,0.243,0.212,173.953,1eyLFH7hE2nekDclVJTUuE,226207
FYA FYA,MISFYA,0.77,0.871,-5.039,0.0432,0.000301,0.848,0.336,0.358,128.021,7gXR2JukLmjLqryJmqQmTK,221500
The Attention Deficit Track - Edit,Skream,0.789,0.973,-7.872,0.0531,1.36e-05,0.855,0.103,0.0897,130.014,4Quui2la1NwpqLDXUgi5tm,228421
Give it to Me,Sally C,0.646,0.94,-7.206,0.0582,0.00185,0.891,0.102,0.866,126.997,6H2pxSiSTzSheYZydk7VZw,429362
Anthem,ELLES,0.748,0.619,-9.739,0.0758,0.319,0.0154,0.364,0.455,118.992,3gmmSF7pX9XyjgbjvXwmeq,254601
How It Makes You Feel,Carl Cox,0.787,0.804,-7.282,0.0751,0.00386,0.922,0.112,0.0386,132.005,1VIaMdoWo7iNLoxdAJJoHK,526673
Diving Into Minds - Club Mix,Soichi Terada,0.747,0.579,-11.545,0.0569,0.033,0.891,0.1,0.466,125.018,2DRUTKWuuWebFUXu6p1krH,387303
Traces,TIBASKO,0.22,0.759,-6.791,0.0352,5.97e-05,0.923,0.148,0.243,134.999,0vcv7tSmp10u55eKYTAQ1E,275439
Magic Moment,Francesca Lombardo,0.805,0.621,-11.281,0.0648,0.00033,0.872,0.0946,0.371,125.005,6bcShXaH3ur6aM6mDxv95o,561280
L.S.B.,Studio Barnhus,0.829,0.856,-8.571,0.0436,0.118,0.902,0.0505,0.54,123.014,6oemEFeEzyfzykENkTCbKf,252207
Seher - Edit,SUCHI,0.802,0.747,-11.393,0.0571,0.00189,0.843,0.0648,0.368,127.976,5kkBdbx49vPGrbQg5l014Z,311250
Apricity (feat. jules),Morgan Hislop,0.762,0.789,-6.386,0.0534,0.104,0.778,0.129,0.771,123.954,0WgPeBuFxnyiFiPt5gdsEL,216395
by the reservoir,Seb Wildblood,0.795,0.685,-9.137,0.0454,0.0145,0.859,0.0803,0.108,130.003,2KTzvg9BdiO9ss0kiZzBe1,308623
Marvel House,Oden & Fatzo,0.8,0.908,-5.441,0.0826,0.0101,0.834,0.0797,0.702,132.008,4LFZaQ5QZqY0QSNcUpWbPx,383647
Piano Skank,Ahadadream,0.801,0.854,-5.482,0.0612,0.00022,0.932,0.102,0.705,127.008,79XMhe7Y6KfuECqu1sEqKN,277619
Yeah,Dutchie,0.746,0.537,-6.869,0.0812,0.0385,0.916,0.0669,0.298,132.017,23VBqzyz3W7le3TBHLOlIf,205714
Uh Oh,MoreNight,0.832,0.91,-6.075,0.245,0.00507,0.792,0.686,0.714,134.05,74Cy4UMTn0Yeu0kSMwARt8,193433
Salt,ATRIP,0.738,0.882,-4.333,0.221,0.071,4.24e-05,0.0852,0.276,132.064,3qGU5R3DwpjbQzknfy4Ci9,232727
Nine Seasons,Louf,0.695,0.953,-9.665,0.0528,0.623,0.813,0.354,0.911,125.984,4K3CHxw4oPJoaLeaPTxQdW,276409
Sirens,Flume,0.324,0.743,-3.358,0.0805,0.123,0.00165,0.0993,0.0864,74.618,5EcN4hZ85eZ45MTS1oRyHY,238019
Acapulco,Jason Derulo,0.774,0.792,-4.021,0.0523,0.051,0.0,0.155,0.507,122.062,3eJH2nAjvNXdmPfBkALiPZ,139672
The Model Gospel,Alto Arc,0.101,0.415,-6.648,0.0451,0.321,0.00325,0.0926,0.0516,85.408,0z6EJctuK2ZjoIv8yZbcMY,348971
Don't You Worry Child - Radio Edit,Swedish House Mafia,0.612,0.84,-3.145,0.0509,0.112,0.0,0.116,0.438,129.042,2V65y3PX4DkRhy1djlxd9p,212862
Eyes,yeule,0.365,0.244,-9.812,0.0329,0.78,0.00543,0.0713,0.0515,127.33,0OaGQVO7FpWBkOZ4LnjTzw,248998
ganc egal,Coals,0.716,0.618,-7.861,0.039,0.379,0.000153,0.184,0.663,90.013,3qTafJuEpUPPrOUNurh8Z3,189333
galore - french version,Oklou,0.67,0.381,-11.735,0.0336,0.844,0.00348,0.376,0.554,124.877,1ifMJraYUkVtRHeDBBs1PQ,140964
Never Look Back,Chicane,0.748,0.825,-8.243,0.0387,0.157,0.783,0.0889,0.438,124.992,5Vt31WxV1bndCjy2CwQdRx,222720
Forever Young,Alphaville,0.489,0.483,-9.466,0.0275,0.42,0.0028,0.236,0.333,136.822,4S1VYqwfkLit9mKVY3MXoo,226706
Too Dead Inside,yeule,0.628,0.786,-8.15,0.0593,0.153,0.000772,0.0777,0.243,103.01,5fzFsmKy3ey9HHkUxrKYhW,205775
R U Joking - Danny L Harle Remix,Ravenna Golden,0.42,0.452,-10.311,0.0589,0.546,0.0016,0.104,0.0958,116.882,1Agiao4UFe2wdH1FNIaChZ,274166
Mars vs. Venus,Usher,0.338,0.567,-8.826,0.137,0.0904,0.0,0.0669,0.297,97.551,4qPmUf6dsy4AyfbxliqGSM,262493
Doctor Jones,Aqua,0.703,0.8,-11.645,0.054,0.145,0.000212,0.0683,0.466,139.968,6EBDmMZBQkWrj7jWlGhFU1,203440
On A Mountain - Flume Remix,Danny L Harle,0.427,0.685,-3.7,0.0791,0.0122,0.00164,0.115,0.253,154.87,0lrIwNdTiHaOlw8gqwXk6L,177767
Electric,yeule,0.524,0.221,-11.821,0.0338,0.61,0.00152,0.171,0.263,111.125,1LQYqouXZXneMu6GUkKshf,195920
The Dream,Simon Jensen,0.456,0.495,-10.388,0.0371,0.25,0.0124,0.334,0.142,128.023,23vxE4R9BGFSY2qyC2MWmL,195367
"I Want It Now/Oompa-Loompa - From ""Willy Wonka & The Chocolate Factory"" Soundtrack",Julie Dawn Cole,0.613,0.336,-14.097,0.129,0.758,0.0,0.068,0.644,131.494,1yRfCCqy1LZjuS4Wa4l6g0,170493
Avalanche,Leonard Cohen,0.395,0.28,-16.539,0.0347,0.872,0.0153,0.265,0.176,92.333,2OXmMU1rITVtthEIh4A015,302013
Ley U Down,Peter Talisman,0.681,0.527,-10.055,0.0292,0.0683,0.478,0.178,0.241,120.791,32NgIj363WOo9bTVKxWuZx,224517
Um Um,Sega Bodega,0.523,0.287,-11.551,0.0281,0.782,0.0,0.16,0.135,144.15,19OGSgFYtJZIDgj7auiSvn,246875
Streets,Doja Cat,0.749,0.463,-8.433,0.0842,0.21,0.0382,0.338,0.189,90.035,60ynsPSSKe6O3sfwRnIBRf,226987
Intimate Flesh,Arca,0.38,0.577,-9.037,0.151,0.0872,0.000213,0.26,0.143,149.881,779bHlJgoKJA0HqQIEcbqY,212980
Searching,KAWALA,0.547,0.907,-5.5,0.139,0.237,0.0,0.0837,0.586,81.005,0lRbYbXj2mknfl7DXfpZX5,144507
Ayla,Kosmonova,0.712,0.886,-8.233,0.0457,0.0117,0.816,0.173,0.593,136.979,7iTCChWTj4SMfpvGKUoXRf,214539
Gardez Vos Distances,Paul Seul,0.541,0.842,-5.369,0.0509,0.00344,0.409,0.0762,0.223,169.992,6WgSmYJ2eD5d2AkuxppzAq,342703
Billions,Caroline Polachek,0.589,0.61,-9.663,0.0921,0.152,0.000261,0.374,0.348,139.941,4gsdYgnktO0jmKEVoL8kfm,296555
Fool for You,The Impressions,0.457,0.655,-7.693,0.0482,0.0561,0.0,0.505,0.527,80.941,7ppPgpUdNPbHhuqYwN2SXu,172813
Forever,Super3,0.659,0.884,-6.314,0.0883,0.465,0.00241,0.136,0.492,141.989,7uN0R7LtrAnuF6CXjahxyj,237133
Thunder,Gabry Ponte,0.67,0.896,-4.673,0.058,0.0342,3.21e-05,0.344,0.403,101.216,2USlegnFJLrVLpoVfPimKB,160000
Cosa Resterà (In A Song) - Gabry Ponte FM Cut,Eiffel 65,0.616,0.878,-7.989,0.0266,0.0164,3.35e-05,0.086,0.742,138.014,5DpBKd7KgsOyeFjyGpiAnA,226465
Bordello,Alto Arc,0.339,0.881,-4.761,0.0528,0.0251,0.0526,0.492,0.115,114.731,62Vr2k9XRwj8Ru60iNmEO0,256676
I Turn to You,Melanie C,0.651,0.894,-6.378,0.0273,0.0486,5.84e-05,0.14,0.77,137.933,7x2zKy4nCq4ueBoqTw84DZ,250720
