song_name,song_artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Come Together,Murdock,4qW4kAKAHZr3VJtkDQIO5B,0.322,0.942,-2.817,0.137,0.000205,0.000108,0.159,0.0825,174.13,248276
Open Arms,Boxplot,1IC0yryMJNhyWTi0mPCOKv,0.586,0.924,-1.122,0.0567,0.000511,0.935,0.634,0.18,173.983,331035
In Control,T & Sugah,6g0aSkYDr5WtIAckNN6xUt,0.471,0.727,-5.621,0.0473,0.0343,0.0205,0.116,0.293,173.989,271500
Ignite,METHOD,5WZp85m1XAbZCnH4R2OQMK,0.433,0.965,-2.121,0.0561,5.4e-05,0.96,0.119,0.132,173.948,276283
Days Away,T & Sugah,150Bv7hNCZCpyMLiljLiej,0.379,0.964,-3.473,0.104,0.000105,0.156,0.119,0.185,174.022,232931
"Always Here, My Dear",Boxplot,2tfVKHZStKg0c9vOoleJmp,0.413,0.907,-3.769,0.0577,0.00665,0.707,0.118,0.303,175.052,296229
Let Me Out,T & Sugah,3obn0D3puHAsXOtDJFMG8G,0.44,0.958,-2.857,0.0502,0.000971,3.44e-05,0.298,0.12,173.98,244500
Past Future,T & Sugah,3QJEbdSoAk4bj2CTLKsiBH,0.419,0.901,-2.954,0.0502,0.000474,0.809,0.19,0.0697,174.025,248500
Strong Now,Jon Void,5zsmkIUNBZ5ptW6ewD4vc9,0.473,0.961,-3.278,0.0407,0.000761,0.00029,0.796,0.34,173.95,255000
Cluster Patrol,Dualistic,1ScDVkfrKUSJMnkuMuSKfP,0.422,0.915,-5.505,0.0558,0.00134,0.907,0.127,0.0657,173.982,266207
Space Boy,Rameses B,15fhccPHabcXcrmIxKFHum,0.421,0.797,-5.869,0.0683,0.146,0.0541,0.344,0.167,173.941,207931
Your Way,T & Sugah,4VxqrgauPobLAA7ab1SKIU,0.487,0.943,-1.869,0.0463,0.00173,0.429,0.194,0.039,173.995,261000
Running,T & Sugah,4Xtpd57M3GgCBlJYcCAEKx,0.339,0.747,-3.733,0.0314,0.000715,0.000176,0.134,0.0907,86.98,228707
Wide Awake,Itro,3S1xw8X18Ow3FTYVrW2EMs,0.516,0.913,-4.521,0.0407,0.00897,0.000364,0.0709,0.261,173.999,188000
Start Again - Lexurus & Dualistic Remix,MUZZ,4mCY3ezfbTUKYcS92pHq7K,0.419,0.902,-4.583,0.0458,0.000311,0.0128,0.117,0.291,173.968,254138
Doo Da Dub,T & Sugah,6YmoHcE8e6UqOljx2RXhn2,0.609,0.933,-2.81,0.254,0.00044,0.00221,0.0951,0.224,173.956,272000
Be There,T & Sugah,4TLvBSsBuOcTWjk5kcV1v8,0.4,0.852,-4.287,0.0348,0.00146,2.77e-05,0.105,0.552,174.01,289310
Heartstrings,Feint,0GaM1ogQ95LcGz55a8RaB7,0.471,0.903,-2.684,0.0467,0.000424,0.871,0.0796,0.179,174.044,295100
Only Us,Boxplot,5Tia5qlNkpbHHueV5c8sZ9,0.467,0.956,-2.397,0.0455,0.00495,0.000809,0.148,0.584,173.945,295530
G.O.A.T.,T & Sugah,3UIPsGzOU5qsysU9Zk3s8o,0.434,0.948,-3.17,0.0386,0.00548,0.00828,0.365,0.293,174.019,268500
Is This Love,T & Sugah,5npG4TPuVqeSssWwbjWn5f,0.473,0.951,-2.83,0.0496,7.46e-05,0.872,0.108,0.183,174.017,275187
Spinning,The Outsiders,0bODLsFn7XzWC6rv5TMmL9,0.561,0.71,-8.128,0.0371,0.277,0.815,0.0988,0.295,171.932,184186
French Fries,T & Sugah,0YnsklW4Ay9e4OPoDaNEdu,0.428,0.922,-3.819,0.0726,0.0182,0.00226,0.0887,0.277,174.025,263751
Leaving,T & Sugah,1b9jaNoyPhtZoVRZ2UFDwy,0.413,0.929,-3.437,0.0418,0.000145,0.439,0.345,0.17,175.023,262069
Can't Let Go,Artino,5uOT1jq18KFUQouP32JyYr,0.45,0.905,-3.429,0.0454,0.00985,5.42e-05,0.337,0.139,171.981,256744
I Think I Think Too Much,Boxplot,7mwcFa4oWwkAXqqa5WwdZh,0.432,0.932,-2.477,0.0585,1.49e-05,0.381,0.0781,0.0884,178.103,238560
Speaking In Tongues,Boxplot,1Ja03UxKrv5tkEcsqdkm7R,0.431,0.98,-2.534,0.11,3.62e-05,0.899,0.306,0.143,174.004,264750
Play,Dossa & Locuzzed,3hUY1xCqs110TaDivkQGGR,0.526,0.861,-1.862,0.075,0.00279,0.0875,0.108,0.148,175.042,268800
Why Try,Boxplot,6wuR1QjCLePeOrNtbMS8Jb,0.683,0.548,-5.348,0.259,0.127,0.673,0.105,0.0381,174.041,289560
FONK,SiLi,0xMYBXS7DK3jfgOKOjHUtJ,0.638,0.963,-1.767,0.0749,0.0011,0.89,0.082,0.389,173.977,294414
Be Together,Effected Life,7oo3L2zSue3k0iXMpuW5mV,0.533,0.69,-4.506,0.0505,0.000637,0.891,0.104,0.221,174.014,248520
Leaving,Boxplot,5KIiDon7zaZXcG0Mtck9Np,0.39,0.977,-1.813,0.312,9.17e-05,0.62,0.153,0.0765,174.055,289600
Welcome Home,Boxplot,3SdPhsJdc3b9VlFLms02AO,0.368,0.923,-2.695,0.0442,0.000184,0.351,0.2,0.0478,174.05,353103
Night Trails,Sub:liminal,1sOaErJwzPOmFJpADsASlm,0.473,0.841,-5.333,0.041,0.000631,0.832,0.2,0.0386,174.024,290184
Know Me Better,Surreal,6D51CkBa7HvOIuDarVcK09,0.577,0.686,-6.071,0.0639,0.00712,0.758,0.108,0.199,173.959,248555
JEBAITED,SiLi,4jp512gnBEb3aFzBDYlsib,0.574,0.979,-2.314,0.0678,0.00052,0.895,0.0493,0.123,172.031,339086
Release,T & Sugah,2VfLXRaHq1CDtzaJxZ25Dn,0.465,0.949,-3.587,0.0437,0.000454,0.143,0.11,0.407,173.991,229558
I Know You Know,Humanature,1D55sHnqrN8XyRhzezI65u,0.609,0.532,-6.163,0.0551,0.00596,0.705,0.773,0.25,175.035,257829
Come To Life,Rezilient,68LOFCd4YNYjUcLdZkDOpD,0.443,0.879,-5.173,0.0371,0.00313,0.776,0.0794,0.0354,174.055,298510
Come Back For Me,CaitC,4hP4F3jdVRsS12lOqg7eIy,0.483,0.8,-5.25,0.0411,0.00103,0.00271,0.452,0.329,173.863,238725
Cutline,Pe:Te,0rRZANgyvkYw2bZXmJRNNG,0.601,0.766,-5.339,0.044,0.000118,0.815,0.0394,0.076,174.006,276145
Gone - External Subway Remix,Bert H,15Q0aIF01L3tSIUjuZHZ01,0.572,0.834,-5.681,0.0958,0.000669,0.555,0.0975,0.222,173.051,369617
All Depends,Subsequent,27DIoetWArHa0Mc8iRZooT,0.443,0.929,-4.283,0.0692,0.0249,0.603,0.197,0.274,173.904,315213
Be Here,The Outsiders,1Esa4dOOZd1Lw7Xw9X93wn,0.606,0.804,-3.297,0.0979,0.083,0.0435,0.316,0.382,172.062,234419
Oblivion,Styke,6hPRN6OU6xZPuXLjXpZ9p7,0.612,0.809,-6.821,0.0519,0.00107,0.915,0.104,0.04,174.036,298856
TRONCE,SiLi,7wrf1JQWCiBa1xWhH31zyL,0.562,0.987,-4.04,0.0682,0.0023,0.488,0.122,0.535,174.021,291311
Playing In The Darkness,SiLi,7ydFRaIGUYjbRxJtc2Ka14,0.541,0.896,-3.16,0.0409,0.000178,0.229,0.22,0.0399,173.98,300000
Thousand Scars,Variants,7Et0oPMaD6HXXTXmUjGvgV,0.606,0.663,-6.471,0.0346,0.00471,0.259,0.0779,0.093,173.966,269948
SOLAR,SiLi,6K23zHmV6CzBUS3Q4tLFGo,0.53,0.761,-4.155,0.0393,0.0134,0.388,0.0981,0.138,174.033,272505
Touch Me,NCT,4bwGqQAVx1OVYm9Vp9QjLx,0.508,0.927,-5.374,0.0626,0.00054,0.832,0.215,0.129,172.039,233215
Artemis,Vandera,2FvJ4NBKxH45nXeVeKNGla,0.521,0.904,-4.721,0.039,0.000183,0.883,0.106,0.431,176.006,255217
I See You,Andromedik,5yq19i8dWxy09NaDkHw3dX,0.368,0.909,-3.121,0.058,0.00455,0.00248,0.12,0.17,173.897,255086
A Road Too Far,Auris,63swvEYx5sDzRgUKMsnlGB,0.537,0.879,-4.874,0.0424,0.00015,0.746,0.115,0.0496,174.028,314355
