song_name,song_artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Rock Bottom,Neck Deep,0YskY3Wb9vlN997O2AJ0qC,0.582,0.925,-4.235,0.0435,0.000581,0.0403,0.207,0.535,105.096,200914
Lime St.,Neck Deep,7L1ArVaLYzUZ12i82hfX6L,0.49,0.953,-3.694,0.0969,1.21e-05,0.351,0.295,0.493,120.016,199196
I Hope This Comes Back To Haunt You,Neck Deep,16cC7n6IU1tNQnsABUDGvX,0.302,0.804,-5.087,0.0621,4.68e-05,0.0476,0.0371,0.307,105.872,169828
Rabbit Hole,blink-182,7I1kCwxYTKdhGmYxvB9uBB,0.562,0.976,-2.865,0.0585,0.00446,0.0,0.373,0.571,100.024,155773
Burnout,Green Day,7dVDWf0wud70V4PgYfKnaG,0.5,0.921,-5.261,0.0355,0.000165,0.00118,0.0959,0.891,90.861,127533
Longview,Green Day,3LRJbFT9rKoKv4aW7PuBJC,0.381,0.732,-7.594,0.0536,0.00834,0.0101,0.0854,0.814,142.504,233240
Welcome to Paradise,Green Day,5kr3j5Clb9rjEposoMyLVt,0.37,0.96,-4.162,0.0378,0.000241,0.0116,0.0563,0.717,89.428,224133
Basket Case,Green Day,6L89mwZXSOwYl76YXfX13s,0.442,0.943,-3.205,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,181533
She,Green Day,4wsQGsdf8D0Bj26cGdvreB,0.37,0.937,-3.939,0.0356,7.37e-05,0.00817,0.0904,0.874,93.307,134293
When I Come Around,Green Day,1Dr1fXbc2IxaK1Mu8P8Khz,0.531,0.909,-4.236,0.034,0.0175,0.0,0.231,0.814,97.546,178000
Brain Stew,Green Day,1nLnpLXvl68RZCSjfkyiaa,0.559,0.543,-5.429,0.302,0.00133,2e-05,0.0577,0.337,75.958,193000
Jaded,Green Day,6uWp8yAt8dN5ZaT7REJ6RV,0.254,0.995,-3.068,0.0669,3.01e-05,4.14e-05,0.0392,0.843,159.336,90227
Walking Contradiction,Green Day,5Mhe8G8RHdQWR30lStPvO5,0.456,0.985,-2.597,0.0765,0.000473,0.0,0.0839,0.874,154.343,151173
Redundant,Green Day,0GYTAipuswOBWFtk06kFCL,0.482,0.946,-3.416,0.0353,8.77e-06,0.00172,0.0891,0.867,115.883,198093
The Grouch,Green Day,3N5wUrnulGRc9LLSz0rQFb,0.41,0.994,-3.485,0.0815,0.00168,0.000157,0.308,0.597,169.755,132080
Good Riddance (Time of Your Life),Green Day,6ORqU0bHbVCRjXm9AjyHyZ,0.475,0.432,-7.844,0.0302,0.183,0.0,0.161,0.648,94.605,153467
Warning,Green Day,0ue0gFLwvXd8qZIPg35Qiu,0.728,0.92,-2.828,0.0294,0.0673,1.61e-05,0.199,0.892,120.989,221667
Waiting,Green Day,390SemxFYgPZ3FfGVqiIqt,0.557,0.834,-4.371,0.0335,0.0219,0.0,0.329,0.659,137.69,192360
Minority,Green Day,4qjfQnccStTR8zNsb6Mizo,0.551,0.965,-2.772,0.0452,0.00576,0.0,0.171,0.708,137.841,168227
American Idiot,Green Day,45zvStEMsXp8z45OQRhWFJ,0.381,0.984,-2.42,0.0638,2.53e-05,6.91e-05,0.27,0.81,186.081,174320
Holiday / Boulevard of Broken Dreams,Green Day,0MsrWnxQZxPAcov7c74sSo,0.29,0.827,-3.451,0.0362,0.000659,2.55e-06,0.301,0.45,167.086,493400
Jesus of Suburbia,Green Day,58KPPL1AdLHMvR2O2PZejr,0.3,0.929,-3.214,0.0636,0.000259,2.26e-06,0.329,0.59,147.116,548253
21 Guns,Green Day,64yrDBpcdwEdNY9loyEGbX,0.268,0.742,-4.939,0.0355,0.0518,0.0,0.626,0.416,159.779,321093
Chump,Green Day,1Cq8IdsiaMiieYuLN8iEm0,0.221,0.887,-8.396,0.0537,0.00023,0.177,0.159,0.638,173.569,174040
In Bloom,Neck Deep,0lgiIwUU7Y10uXfKkgXdjk,0.593,0.958,-4.697,0.048,0.00347,1.3e-05,0.101,0.378,110.979,218055
Home,Back At North,5BjkpSjVgNZdcw6GZNm21k,0.456,0.911,-8.631,0.075,7.04e-06,0.0016,0.36,0.567,111.98,199286
In Friends We Trust,"Chunk! No, Captain Chunk!",3yJbGoyLue9B5R6guLIVjI,0.381,0.962,-4.882,0.0827,0.000232,0.0115,0.239,0.402,185.007,207040
Overstepping,Belmont,4pawX422Y0FR6oMkyd5p4k,0.525,0.989,-2.128,0.0757,3.8e-05,0.00168,0.344,0.471,102.564,243973
Overthinking,Between You & Me,48Tnp5F4EhHf0KDTu1hhvP,0.394,0.939,-4.366,0.098,5.22e-05,0.000707,0.237,0.635,194.978,180869
Good Terms,Abandoned By Bears,4x5wrZVLeCwGyfGcyVUwny,0.418,0.925,-3.615,0.0545,9.41e-05,0.0141,0.349,0.483,92.931,194507
Happy Judgement Day,Neck Deep,4GHW4tzEf6OBIoyewdBnZX,0.529,0.975,-3.484,0.0817,0.00021,0.0,0.321,0.63,93.931,213010
Honey,Moose Blood,65wNccuIfxHJR7ddYtaAOQ,0.493,0.951,-5.138,0.0805,4.49e-05,0.0,0.101,0.375,143.041,208160
Pretense,Knuckle Puck,4ycBEc4S3zcAap4NJd3UMR,0.233,0.955,-2.658,0.343,0.00719,0.0128,0.129,0.348,190.041,185983
Knuckles,Moose Blood,0ttKGGwdONPJuVZggxzAl1,0.58,0.781,-6.132,0.0363,4.12e-05,8.62e-05,0.108,0.728,137.962,224840
Down,311,0HDaKOlVAfUWXdFR2RhBtN,0.441,0.922,-6.644,0.0655,0.000179,1.97e-06,0.381,0.565,175.411,172160
Come Original,311,4HcgoL4KNExj5LgmmFCj0D,0.648,0.978,-5.592,0.0576,0.0122,1.54e-05,0.106,0.795,93.86,223333
