song_name,song_artist,id,danceability,energy,loudness,liveness,valence,tempo,acousticness,cluster
Taunt,Lovejoy,7tYCf3ftc99AQrn2cXYM6d,0.45414582324098524,0.3322626819518198,0.4847810899074824,0.9237016423038799,-0.5253062501189717,-0.6544065336637799,-0.10492280667216558,1
Cause for Concern,Lovejoy,0f8xPdFJ6SdlHJwkxpdw2Q,0.3951976179793889,-0.5700944344095393,0.09807114389450332,0.058525904835783245,0.4618233934956476,-0.783917464724458,0.23417217974907897,7
"Oh Yeah, You Gonna Cry?",Lovejoy,2xGjteMU3E1tkEPVFBO08U,-1.809465258804312,0.40851821291193424,0.17991938454885562,-0.9585831328706134,-1.4425142106442224,2.3158740584652007,-0.9104160094636399,2
Model Buses,Lovejoy,6CeoTeUhMFHKoKeQkRrhaU,0.01792910430517243,0.6542304793389712,0.9108057807291533,-0.11732282229187864,0.27673658531790674,0.17388105609373009,-0.8575869120464235,1
Concrete,Lovejoy,3heBlHAJa5ZMCxvI07OUEH,-1.2730365909237857,0.7897958677125086,0.9457522205591016,0.44539310451663944,-0.4553845670296027,1.592677607452891,-0.8924471442953364,2
You'll Understand When you're Older,Lovejoy,4mWFafcREuKWv2MeTVxDlQ,-0.9665059235634853,-1.5148157346376285,-1.320938241832077,-0.3494431421003924,0.08753673695843783,0.6052642978510268,2.1926834097334638,4
The Fall,Lovejoy,4PZFvcnma5V41ncCti6UhW,0.9021521832291167,0.5186650909654336,1.1363482641053322,-0.14545861863230458,0.41246691131491703,0.20945189178362003,-0.9162471755852762,6
Saline Solution,Wilbur Soot,5gaJWuEQNJ2YcbA75irOZN,-0.6128166919939076,0.942306929632738,0.5349016417688555,-0.6603436916620987,1.510648639836181,0.8339764990496491,-0.9286501293082373,6
Losing Face,Wilbur Soot,2vJXkBYTfhmszE7ggfDc9E,-0.6481856151508654,-1.574125592051051,-1.8764027064975688,-0.44088448020677656,-0.2990890401239547,-1.0648774329503696,1.6507652538639979,0
La Jolla,Wilbur Soot,5LK7z5WjlnGVj0o3zi1Q57,0.4600406437671449,1.3024024924999473,0.885515594010112,0.12886539568684807,-0.2127151963076754,1.7296997754452943,-0.7194136278598229,2
Since I Saw Vienna,Wilbur Soot,6HY1rAJSjmdqbGysansiC9,0.29498566903467516,1.5438783405403107,1.3278639508049825,0.8041245078570697,1.560005122016912,0.43962001555931635,-0.737794477591068,6
I'm Sorry Boris,Wilbur Soot,7wYU1avLwl1Gtkib8OTrZp,-1.5324086940748094,0.010294884564668035,-0.0182637150130874,-0.27206970216422105,0.4083538711331895,0.36507016178320345,-0.9203670212146932,2
Internet Ruined Me,Wilbur Soot,4I0msd0KkIXxb3cENqdeuF,0.5779370542903369,-0.7692060985831723,-0.2336901237016494,0.1640351411123805,-0.26207167848840646,1.2003726512302546,-0.7774083778739236,3
Ain't No Crying,Derivakat,1BpKJw4RZxaFB88NE5uxXf,0.5484629516595394,0.3619176106585307,0.32361362727068205,2.3023556629847497,-1.4096098891904016,0.4392560349150479,-0.9119688743547277,5
In My Head,Derivakat,5gEZzzZ9nSCM2SmdYER0hd,-0.7071338204124618,1.043980970912891,0.7266472392568608,-0.20173021131315644,-0.019402307766479145,1.400264203232696,-0.9033805807734047,2
Blue,Derivakat,6IaSUc4wx1rzo8lGs4KOot,0.8785729011244782,-1.4936336427042631,0.17601090114682186,-0.5182579201429479,-0.9037059468379092,0.6900717879656206,-0.05738612633273872,3
Welcome Home,Derivakat,3VSuWxZM6x6V3ig5nYtikL,-1.5441983351271287,0.2983713348584354,0.04151308995919234,4.672796504665632,0.9101447733039544,-0.5041817950292684,-0.602473394224833,5
Kiss Your Dreams Goodbye,Derivakat,5TAf4lnZCZTLlZHNZMLFLi,0.012034283779012797,0.14586027293820564,0.17808009824201623,-0.6912930676365672,1.1733793449345193,-1.4992717873102526,0.06304013052714247,7
FIREBORN,Derivakat,71uCqte3JyarHbQTGvOwvA,-0.20607407568889297,0.6245755506322598,0.49259805671154977,-0.3353752439301794,-0.8831407459292713,1.2689995472496323,-0.834135483078973,2
Captain's Call,Derivakat,6Gt2XKuKdwnMZmmXOXAUGo,-0.842714692514133,0.9338340928593919,0.43052214385572085,-0.48308817471741544,0.5358581167667441,0.4531534776962137,-0.7967399612119571,6
HONEY,Derivakat,2HO0uCyq8jOveEzvmo4JEu,0.23014264324691922,1.2388562166998516,0.9434531126755523,0.17106909019748698,-1.2162970006492053,0.4392560349150479,-0.9268668699731042,2
Take Aim,Derivakat,1U5zq5VFaptRO4Jj1uNUns,0.07687730956676876,0.20940654873830136,-0.7247795676277636,-0.09622097503655919,-0.49651496884687857,0.011082440657210788,0.012334338165087158,3
Casino Royale,Derivakat,5Vb0lbehVcGwentlqCNhax,-0.2886015630551278,1.2939296557266011,1.3480961001802154,-0.45495237837698954,-1.7016357420930601,1.7324792640015276,-0.9134583570053633,2
L'manberg National Anthem,Quite Genetic,2FYMVOK6wtkysaKuNWUfk9,1.3442637226910885,-1.9681125020116443,-0.6098241734503025,-0.476054225632309,0.14511929950262403,-0.41272338586940294,0.8584872482068844,8
E-GIRLS ARE RUINING MY LIFE!,CORPSE,3GOZbK2epuHzCt5YvvVFHO,-1.502934591444011,-2.3116860331708287,-2.859041415926507,-0.48308817471741544,-1.0435493130166469,-2.018705255831082,2.1926834097334638,0
Brother,Kodaline,4y4spB9m0Q6026KfkAvy9Q,0.23603746377307885,-1.5614163368910319,0.2270510961616147,-0.44088448020677656,-1.4725394039708337,-1.3849156867109418,1.8092208549954207,8
Toxic,BoyWithUke,27L8sESb3KR79asDUBu8nW,1.0789967990139058,0.6033934586988945,0.719979826394568,-0.6884794880025246,1.9589700196444877,-0.12236609919146446,-0.9223318706687228,7
Castaways,Annapantsu,2Yl4OmDby9iitgNWZPwxkd,1.350158543217248,-0.16763468767560005,-0.03941550754174037,-0.5871906211769913,0.3466582684072757,1.0114005185558717,-0.8477626647762753,3
