song_name,song_artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,cluster
Killpop,Slipknot,0.472,0.468,-12.875,0.0385,0.938,0.876,0.334,0.375,113.452,3NLuRwdC33GHNouWUa0CUT,232040.0,14
People = Shit,Slipknot,0.794,0.632,-6.163,0.0649,0.142,0.0,0.128,0.355,145.926,6fujklziTHa8uoM5OQSfIo,291893.0,6
Left Behind,Slipknot,0.674,0.789,-6.903,0.0676,0.00178,0.00708,0.0753,0.918,129.802,1FTSo4v6BOZH9QxKc3MbVM,121160.0,16
Sweet Dreams (Are Made Of This),Marilyn Manson,0.654,0.334,-12.662,0.0521,0.702,0.714,0.114,0.697,81.544,2oMaXY0yiWhAEWD7SutXh2,410667.0,14
Dead Memories,Slipknot,0.317,0.549,-6.861,0.0404,0.000941,0.00226,0.0445,0.216,185.713,7sI2WC33xfq3Cw9C6e22pg,264288.0,18
Chop Suey!,System Of A Down,0.512,0.216,-12.152,0.0627,0.844,0.0,0.32,0.503,127.633,6aNMGfwdGyELNGCuqs5ldU,335173.0,12
Freak On a Leash,Korn,0.452,0.574,-8.336,0.31,0.246,0.0,0.189,0.58,92.791,6brl7bwOHmGFkNw3MBqssT,207187.0,11
Down with the Sickness,Disturbed,0.722,0.584,-8.467,0.318,0.716,0.000321,0.115,0.646,169.981,4glDjeIwMMMfU9jw2vYRpL,210865.0,3
Walk,Pantera,0.556,0.922,-2.408,0.0397,5.81e-05,1.54e-05,0.0805,0.582,129.988,6QGVGr12RmAJNEBl0whkxK,219692.0,3
Last Resort,Papa Roach,0.499,0.769,-5.576,0.0522,0.00416,0.0274,0.117,0.333,110.835,5yZtHXjySe6jDjOM6Yi3Mw,224147.0,15
Break Stuff,Limp Bizkit,0.544,0.34,-13.947,0.0411,0.785,3.89e-06,0.734,0.556,97.005,0gctFhy7ZomaBNuUrFnjrU,154187.0,8
Sulfur,Slipknot,0.582,0.774,-6.051,0.0409,0.0865,0.204,0.104,0.854,171.511,40yuIUDaA4Ib8kLbTayyE9,247752.0,3
B.Y.O.B.,System Of A Down,0.503,0.981,-5.701,0.0936,0.000682,9.06e-05,0.194,0.34,124.91,1BW2QdLe6RtJTMJDSYmg9w,227440.0,15
Nightmare,Avenged Sevenfold,0.848,0.691,-6.775,0.093,0.0512,0.00803,0.0723,0.922,92.996,1nZkrUFLq265za9lofFO3p,291707.0,16
Absolute Zero,Stone Sour,0.854,0.751,-5.778,0.0431,0.12,0.0,0.164,0.878,91.653,0mEp39kzTHUNyBh9IcDxfc,206013.0,16
Numb,Linkin Park,0.879,0.268,-12.133,0.333,0.805,0.0187,0.102,0.036,114.928,70nCo80jsbSeGtQWiUGajl,150271.0,1
Dig,Mudvayne,0.499,0.192,-8.606,0.0414,0.865,6.81e-06,0.0912,0.297,81.063,5s5Kab5wgywhIap0y6BoLZ,200600.0,5
Falling Away from Me,Korn,0.57,0.87,-8.971,0.233,0.491,0.595,0.0642,0.592,200.012,39NY2X1cbhRrIzmugpJ5wc,108000.0,9
Stricken,Disturbed,0.818,0.688,-3.022,0.26,0.000977,0.0548,0.147,0.181,141.986,7flynjQoBr4WuLeAPyquS4,165880.0,6
Hail to the King,Avenged Sevenfold,0.53,0.507,-6.766,0.102,0.798,3.99e-06,0.142,0.572,79.285,6yD3n3LtoOPRi3lw1UW5Rx,200177.0,11
Lift Me Up (feat. Rob Halford of Judas Priest),Five Finger Death Punch,0.19,0.132,-20.038,0.0408,0.982,0.954,0.08,0.0413,74.857,1apYfqtaXefTBkHDfUT9QP,50653.0,2
Custer,Slipknot,0.712,0.967,-5.206,0.047,0.0771,0.0,0.356,0.895,145.024,3Cx4yrFaX8CeHwBMReOWXI,287733.0,0
Toxicity,System Of A Down,0.587,0.698,-8.948,0.0943,0.0152,0.0,0.442,0.0985,133.954,5h5tBFnbcVioFXiOixTn6E,310720.0,12
Coming Undone,Korn,0.488,0.89,-4.408,0.0504,0.00198,0.000338,0.325,0.278,135.085,1PvEOveuZFuu0LCKdKQRdN,266169.0,4
Welcome to the Family,Avenged Sevenfold,0.706,0.643,-6.929,0.234,0.0242,0.0,0.262,0.885,143.931,0yvPEnB032fojLfVluFjUv,203760.0,3
The Vengeful One,Disturbed,0.589,0.357,-12.144,0.0995,0.333,0.0312,0.354,0.225,139.942,4yA3BQO97qscRTrJoK5AzO,166299.0,12
Through Glass,Stone Sour,0.786,0.807,-9.154,0.0458,8.66e-06,0.857,0.11,0.0345,125.005,0Keuz1iGQsOdIxqsdbKanO,434406.0,7
Redneck,Lamb of God,0.429,0.966,-4.605,0.0733,0.000209,0.124,0.371,0.525,179.956,42ZVk59gT4tMlrZmd8Ijxf,278027.0,4
Symphony Of Destruction,Megadeth,0.603,0.964,-2.886,0.0487,0.00655,3.04e-06,0.143,0.796,135.028,6qWEpnyU43Bcrx3vfbGuVm,206180.0,3
Tears Don't Fall,Bullet For My Valentine,0.61,0.627,-9.402,0.126,0.832,2.29e-06,0.113,0.397,70.639,10OFKwrawLJoQqdsfGAGcE,161702.0,11
I'm Broken,Pantera,0.427,0.127,-12.731,0.0419,0.964,1.92e-06,0.109,0.259,76.357,3ZAbCtTT1qSmJFSilUjhpr,250573.0,5
The Negative One,Slipknot,0.313,0.429,-7.415,0.0343,0.787,0.0,0.0863,0.416,77.27,5tajmvqHF6YW1iiUFzKpCB,184213.0,5
Aerials,System Of A Down,0.514,0.36,-7.33,0.27,0.695,0.000414,0.0966,0.475,73.234,2e3wKwNMrYIvMgAS484EXQ,134404.0,11
Bat Country,Avenged Sevenfold,0.531,0.909,-4.236,0.034,0.0175,0.0,0.231,0.814,97.546,1Dr1fXbc2IxaK1Mu8P8Khz,178000.0,0
Indestructible,Disturbed,0.334,0.617,-5.834,0.383,0.334,0.0,0.163,0.603,85.227,1SJtlNRJDeYHioymcvsqev,216391.0,15
Laid to Rest,Lamb of God,0.412,0.876,-6.008,0.47,0.102,0.0,0.297,0.703,130.159,5Y77SQxEr1eiofPeUTPHxM,273133.0,4
Die MF Die,Dope,0.784,0.757,-3.912,0.0384,0.495,1.18e-06,0.142,0.587,104.996,1YMBg7rOjxzbya0fPOYfNX,198286.0,16
